"CID","Result","query"
"10219726","Orange, crystalline solid.
Orange needles from methanol or ethanol.
Camphor-like.
Reported BPs:  480 °F at 760 mmHg (NTP, 1992); 249 °C; 480 °F.
Reported MPs:  343 to 345 °F (sublimes) (NTP, 1992); 173-174 °C; 173 °C; 343 °F.
When heated to decomposition it emits acrid smoke and irritating fumes.","DICYCLOPENTADIENYL IRON"
"10342051","White crystalline solid.
Colorless crystals.
Clear viscous liquid at 23 °C.
Reported BPs:  151-167 °C.
Reported MPs:  59-60.2 °C; 59-60 °C.
When heated to decomposition it emits toxic fumes of /sulfur oxides and hydrogen chloride/.","ESFENVALERATE"
"11125","White, light, alkaline powder.
White monoclinic crystals.
Reported BPs:  1336; Decomposes at 1300 °C.
Reported MPs:  180.5; 723 °C.
1310 °C","LITHIUM CARBONATE"
"11292","COLORLESS TO RED CRYSTALS.
Dark-green crystalline powder.
Reported MPs:  514 to 518 °F (decomposes) (NTP, 1992); 268-270 °C (decomposes).
Destroyed by strong oxidizing agents; readily reduced to leuco-bases with a variety of reducing reagents sensitive to photochemical oxidation.
When heated to decomposition ... emits very toxic fumes of /hydrogen chloride and nitrogen oxides/.","C.I. BASIC RED 9 MONOHYDROCHLORIDE"
"11442","Reported BPs:  BP: 140 °C at 0.1 mm Hg. Vaporizes without decomposition when heated at 150 °C.; at 0.013kPa: 140 °C; at 0.05kPa: 153 °C.
Reported MPs:  ~4 °C.
When heated to decomposition it emits acrid fumes.","D-TRANS-ALLETHRIN"
"11534837","Colorless solid.
Reported BPs:  156 °C at 1 mm Hg.
Reported MPs:  44.6 °C; Off-white; MP: 39-43 °C /Technical/.
When heated to decomposition it emits toxic vapors of /fluorine and chlorine/.","TEFLUTHRIN"
"11954021","Viscous, amber-colored liquid.
Colorless, viscous liquid.
White crystals.
PENETRATING; AROMATIC; SLIGHTLY PUNGENT, LIKE CHLORINE.
NEARLY ODORLESS.
Pungent chlorine-like odor..
Reported BPs:  347 °F at 2 mmHg (EPA, 1998); 175 °C @ 1 mm Hg; at 0.27kPa: 175 °C; decomposes; Decomposes.
Reported MPs:  223-225 °F (cis); 219-221 °F (trans) (NTP, 1992); Melting point: 106-107 °C cis-isomer; 104-105 °C trans-isomer; 217-228 °F.
Hazardous decomposition products: Toxic gases and vapors, such as hydrogen chloride, chlorine, phosgene, and carbon monoxide. ....
Near its boiling point, chlordane decomposes to /chlorine, phosgene, and hydrogen chloride/..
Decomposed by alkalis, with the loss of chlorine. Under u.v. irradiation, a change in the skeletal structure and of the chlorine content occurs.","CHLORDANE"
"11966","Colorless liquid.
Colorless to slight yellow liquid.
Liquid.
Mild aromatic odor.
Reported BPs:  234 °F at 760 mmHg (NTP, 1992); 112 °C (decomposes); BP: 75 °C at 0.2 mm Hg.
Reported MPs:  46 °F (NTP, 1992); 8 °C.
Hazardous decomposition products formed under fire conditions - Carbon oxides..
When heated to decomposition it emits acrid smoke and fumes.","BENZENECARBOPEROXOIC ACID, 1,1-DIMETHYLETHYL ESTER"
"12111","Reported BPs:  Sublimes.
Reported MPs:  162.5 °C.
When heated to decomposition it emits acrid smoke and irritating fumes.","Bisphenol F"
"12310947","Colorless needles.
Brown to white, crystalline solid.
Colorless to dark brown crystalline solid ....
... Mild chemical odor ....
Reported BPs:  293 °F at 2 mmHg (decomposes) (EPA, 1998); 145 °C at 2 mm Hg; at 0.27kPa: 145 °C; decomposes; Decomposes.
Reported MPs:  219 °F for pure product; 120 to 140 °F for technical product. (EPA, 1998); 104 °C; MP: 40-60 °C /TECHNICAL GRADE ALDRIN/; 104-105 °C; 219 °F.
When heated to decomposition it emits toxic fumes of /hydrogen chloride/.","ALDRIN"
